policy,scenario,log08_EENS,std,count,sem,ci95_lo,ci95_hi,geo_EENS,log05_EENS,delta05,delta05_pct,delta08,delta08_pct
b1,delayed,8.93534005,33.074261580583645,1000,1.0458999852284498,6.885376078952239,10.985304021047762,13.43199914,7.618,-5.814,-43.29,-4.49665909,-33.477213951042586
b1,extreme,60.497692820000005,119.90898846009864,1000,3.791855154607579,53.06565671696915,67.92972892303086,57.73154856,71.685,13.953,24.17,2.7661442600000044,4.791391066056663
b1,monsoon,16.243266650000002,50.54479328575002,1000,1.5983667064535598,13.110467905351026,19.37606539464898,23.20429426,14.577,-8.627,-37.18,-6.961027609999999,-29.998876638965697
b1,normal,2.93741793,20.54401462510666,1000,0.6496587849914726,1.664086711416714,4.210749148583286,3.54761802,1.475,-2.072,-58.41,-0.6102000899999998,-17.200275975596714
mpc,delayed,8.67303515,33.50369859282328,1000,1.059479975930998,6.596454397175244,10.749615902824758,13.137549510000001,7.102,-6.035,-45.94,-4.464514360000001,-33.982854691445425
mpc,extreme,59.86878546,120.26106375899586,1000,3.8029887531315767,52.41492750386211,67.3226434161379,57.37873554,71.03,13.651,23.79,2.490049919999997,4.339673742486235
mpc,monsoon,15.88867028,50.90982511003781,1000,1.6099100262855177,12.733246628480385,19.044093931519615,22.83713805,14.102,-8.735,-38.25,-6.948467770000001,-30.426175796577105
mpc,normal,2.5962730499999997,20.500488399397852,1000,0.6482823648795684,1.3256396148360459,3.8669064851639536,3.07737556,1.0,-2.078,-67.51,-0.48110251000000037,-15.63353255460313
rlinv,delayed,2.70239068,24.325268834720617,1000,0.7692325421362712,1.1946948974129086,4.210086462587092,3.5992171900000005,0.595,-3.005,-83.48,-0.8968265100000004,-24.917265690209717
rlinv,extreme,54.30505893,115.99925969252232,1000,3.6682186752173367,47.115350326574024,61.49476753342598,53.85436754,60.912,7.057,13.1,0.4506913900000029,0.83687063944304
rlinv,monsoon,6.06439062,38.42447110623498,1000,1.2150884658303227,3.682817226972568,8.445964013027432,11.28647864,3.143,-8.143,-72.15,-5.22208802,-46.26853234358312
rlinv,normal,0.64756293,12.3987229948213,1000,0.3920820474113938,-0.12091788292633188,1.4160437429263317,0.018947000000000002,0.0,-0.019,-100.0,0.6286159299999999,3317.75969810524
