policy,scenario,weib_EENS,std,count,sem,ci95_lo,ci95_hi,geo_EENS,log05_EENS,delta05,deltaW,deltaW_pct
b1,delayed,6.749193460000001,19.330888311591938,1000,0.6112963625895722,5.551052589324439,7.947334330675562,13.43199914,7.618,-5.814,-6.6828056799999995,-49.752874537483024
b1,extreme,71.68993400000001,133.76476538712444,1000,4.230013293013681,63.39910794569319,79.98076005430683,57.73154856,71.685,13.953,13.958385440000008,24.178089429721698
b1,monsoon,14.66177397,36.76441435783895,1000,1.1625928621296773,12.383091960225833,16.940455979774168,23.20429426,14.577,-8.627,-8.54252029,-36.81439389745095
b1,normal,0.9648253,4.133228726167174,1000,0.13070416865124665,0.7086451294435565,1.2210054705564435,3.54761802,1.475,-2.072,-2.5827927199999996,-72.80357426981385
mpc,delayed,5.755268050000001,19.351812183448192,1000,0.6119580335149248,4.5558303043107475,6.954705795689254,13.137549510000001,7.102,-6.035,-7.382281460000001,-56.192225607833315
mpc,extreme,71.06553939000001,133.93408024348454,1000,4.235367498891702,62.764219092172276,79.36685968782774,57.37873554,71.03,13.651,13.686803850000011,23.85344278013696
mpc,monsoon,14.18386624,37.890986840572786,1000,1.1982182120767735,11.835358544329525,16.532373935670478,22.83713805,14.102,-8.735,-8.65327181,-37.89122696133984
mpc,normal,0.6468564600000001,3.719624427829774,1000,0.11762485232342684,0.41631174944608346,0.8774011705539166,3.07737556,1.0,-2.078,-2.4305191,-78.98025615047129
rlinv,delayed,0.18428360000000002,2.924937860522672,1000,0.09249465653711542,0.0029940731872538096,0.36557312681274623,3.5992171900000005,0.595,-3.005,-3.4149335900000004,-94.87989775910133
rlinv,extreme,61.82020471,125.07841835363837,1000,3.9553268812890523,54.06776402267346,69.57264539732654,53.85436754,60.912,7.057,7.96583717,14.791441314547841
rlinv,monsoon,1.53580507,12.882732313794913,1000,0.40738776597842946,0.7373250486822783,2.3342850913177218,11.28647864,3.143,-8.143,-9.75067357,-86.39252224731096
rlinv,normal,0.0,0.0,1000,0.0,0.0,0.0,0.018947000000000002,0.0,-0.019,-0.018947000000000002,-100.0
